address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,name,number,position,status,scrape_datetime
Smithfield North,14,16,True,30,False,Dublin,2018-03-02 23:20:19,SMITHFIELD NORTH,42,"{'lat': 53.349562, 'lng': -6.278198}",CLOSED,02-03-2018 23:27:02
Parnell Square North,18,2,True,20,False,Dublin,2018-03-02 23:19:46,PARNELL SQUARE NORTH,30,"{'lat': 53.353462, 'lng': -6.265305}",CLOSED,02-03-2018 23:27:02
Clonmel Street,30,3,False,33,False,Dublin,2018-03-02 23:23:50,CLONMEL STREET,54,"{'lat': 53.336021, 'lng': -6.26298}",CLOSED,02-03-2018 23:27:02
Mount Street Lower,32,8,False,40,False,Dublin,2018-03-02 23:18:26,MOUNT STREET LOWER,56,"{'lat': 53.33796, 'lng': -6.24153}",CLOSED,02-03-2018 23:27:02
Christchurch Place,19,1,False,20,False,Dublin,2018-03-02 23:21:13,CHRISTCHURCH PLACE,6,"{'lat': 53.343368, 'lng': -6.27012}",CLOSED,02-03-2018 23:27:02
Grantham Street,7,23,True,30,False,Dublin,2018-03-02 23:25:40,GRANTHAM STREET,18,"{'lat': 53.334123, 'lng': -6.265436}",CLOSED,02-03-2018 23:27:02
Pearse Street,23,7,True,30,False,Dublin,2018-03-02 23:22:37,PEARSE STREET,32,"{'lat': 53.344304, 'lng': -6.250427}",CLOSED,02-03-2018 23:27:02
York Street East,28,4,False,32,False,Dublin,2018-03-02 23:18:19,YORK STREET EAST,52,"{'lat': 53.338755, 'lng': -6.262003}",CLOSED,02-03-2018 23:27:02
Excise Walk,27,13,False,40,False,Dublin,2018-03-02 23:20:53,EXCISE WALK,48,"{'lat': 53.347777, 'lng': -6.244239}",CLOSED,02-03-2018 23:27:02
Fitzwilliam Square West,27,3,False,30,False,Dublin,2018-03-02 23:22:02,FITZWILLIAM SQUARE WEST,13,"{'lat': 53.336073999999996, 'lng': -6.252825}",CLOSED,02-03-2018 23:27:02
Portobello Road,3,27,True,30,False,Dublin,2018-03-02 23:24:10,PORTOBELLO ROAD,43,"{'lat': 53.330091, 'lng': -6.268044}",CLOSED,02-03-2018 23:27:02
St. James Hospital (Central),18,22,False,40,False,Dublin,2018-03-02 23:20:24,ST. JAMES HOSPITAL (CENTRAL),81,"{'lat': 53.339983, 'lng': -6.295594}",CLOSED,02-03-2018 23:27:02
Parnell Street,15,5,False,20,False,Dublin,2018-03-02 23:25:56,PARNELL STREET,31,"{'lat': 53.350929, 'lng': -6.265125}",CLOSED,02-03-2018 23:27:02
Frederick Street South,30,0,True,30,False,Dublin,2018-03-02 23:16:52,FREDERICK STREET SOUTH,98,"{'lat': 53.341515, 'lng': -6.2568529999999996}",CLOSED,02-03-2018 23:27:02
Fownes Street Upper,14,16,False,30,False,Dublin,2018-03-02 23:25:34,FOWNES STREET UPPER,14,"{'lat': 53.344603, 'lng': -6.263371}",CLOSED,02-03-2018 23:27:02
Clarendon Row,25,6,False,31,False,Dublin,2018-03-02 23:23:07,CLARENDON ROW,1,"{'lat': 53.340927, 'lng': -6.262501}",CLOSED,02-03-2018 23:27:02
